编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,儒歇定理,9,RXDL,4,rouche_theorem,14,ruxiedingli,11
2,米塔格-莱夫勒定理,10,MTGLFLDL,8,mittag_leffler_theorem,22,mitagelaifuleidingli,20
3,魏尔斯特拉斯乘积,10,WESTLSCJ,8,weierstrass_product,19,weiersitelasichengji,20
4,单值解析延拓,9,DZJXYT,6,single_value_analytic_continuation,34,danzhijiexiyantuo,17
5,多值解析延拓,9,DZJXYT,6,multivalued_analytic_continuation,33,duozhijiexiyantuo,17
6,单值分支,9,DZFZ,4,single_value_branch,19,danzhifenzhi,12
7,割线,9,GX,2,cut_line,8,gexian,6
8,黎曼面,9,LMM,3,riemann_surface,15,limanmian,9
9,解析覆盖,9,JXFG,4,parsing_coverage,16,jiexifugai,10
10,全纯覆盖,9,QCFG,4,holomorphic_fu_gai,18,quanchunfugai,13
11,有理型函数,9,YLXHS,5,rational_function,17,youlixinghanshu,15
12,赫尔维茨定理,9,HEWCDL,6,hurwitz_theorem,15,heerweicidingli,15
13,蒙泰尔定理,9,MTEDL,5,montel_theorem,14,mengtaierdingli,15
14,正规族,9,ZGZ,3,normal_zu,9,zhengguizu,10
15,维塔利定理,9,WTLDL,5,vitali_theorem,14,weitalidingli,13
16,米塔格-莱夫勒展开定理,9,MTGLFLZKDL,10,mittag_leffler_theorem,22,mitagelaifuleizhankaidingli,27
17,魏尔斯特拉斯乘积定理,9,WESTLSCJDL,10,weierstrass_product_theorem,27,weiersitelasichengjidingli,26
18,詹森公式,9,ZSGS,4,jensen_formula,14,zhansengongshi,14
19,泊松积分公式,9,PSJFGS,6,poisson_integral_formula,24,posongjifengongshi,18
20,施瓦茨引理,9,SWCYL,5,schwarz_yin_li,14,shiwaciyinli,12
21,施瓦茨反射原理,9,SWCFSYL,7,schwartz_reflection_principle,29,shiwacifansheyuanli,19
22,普拉格门-林德勒夫原理,9,PLGMLDLFYL,10,phragmen_lindelof_principle,27,pulagemenlindeleifuyuanli,25
23,全纯逆函数定理,9,QCNHSDL,7,holomorphic_ni_function_theorem,31,quanchunnihanshudingli,22
24,共形映射,9,GXYS,4,conformal_map,13,gongxingyingshe,15
25,黎曼映射定理,9,LMYSDL,6,riemann_map_theorem,19,limanyingshedingli,18
26,次调和函数,9,CDHHS,5,subharmonic_function,20,cidiaohehanshu,14
27,格林函数,9,GLHS,4,green_function,14,gelinhanshu,11
28,伯格曼核,9,BGMH,4,bergman_he,10,bogemanhe,9
29,哈代空间,9,HDKJ,4,hardy_space,11,hadaikongjian,13
30,内万林纳特征,9,NWLNTZ,6,nevanlinna_characteristic,25,neiwanlinnatezheng,18
31,布拉施克乘积,9,BLSKCJ,6,blaschke_product,16,bulashikechengji,16
32,内函数,9,NHS,3,nei_function,12,neihanshu,9
33,外函数,9,WHS,3,wai_function,12,waihanshu,9
34,边界值函数,9,BJZHS,5,boundary_zhi_function,21,bianjiezhihanshu,16
35,非切向极限,9,FQXJX,5,non_tangential_limit,20,feiqiexiangjixian,17
36,分支点,9,FZD,3,branch_point,12,fenzhidian,10
37,代数奇点,9,DSQD,4,algebraic_singularity,21,daishuqidian,12
38,对数奇点,9,DSQD,4,logarithmic_singularity,23,duishuqidian,12
39,洛朗展开,9,LLZK,4,laurent_unfolds,15,luolangzhankai,14
40,泰勒展开,9,TLZK,4,taylor_expand,13,taileizhankai,13
41,全纯微分,9,QCWF,4,holomorphic_differential,24,quanchunweifen,14
42,解析形式,9,JXXS,4,analytic_form,13,jiexixingshi,12
43,柯西核,9,KXH,3,cauchy_he,9,kexihe,6
44,柯西变换,9,KXBH,4,cauchy_transformation,21,kexibianhuan,12
45,柯西积分算子,9,KXJFSZ,6,cauchy_integral_operator,24,kexijifensuanzi,15
46,库赞问题,9,KZWT,4,cousin_problem,14,kuzanwenti,10
47,嘉当定理,9,JDDL,4,cartan_theorem,14,jiadangdingli,13
48,解析集,9,JXJ,3,solution_xi_ji,14,jiexiji,7
49,斯坦域,9,STY,3,stein_yu,8,sitanyu,7
50,拟凸域,9,NTY,3,quasi_convex_domain,19,nituyu,6
51,全纯凸性,9,QCTX,4,holomorphic_convexity,21,quanchuntuxing,14
52,多圆柱,9,DYZ,3,multiple_cylinders,18,duoyuanzhu,10
53,多重调和函数,9,DZDHHS,6,multiple_harmonic_functions,27,duozhongdiaohehanshu,20
54,全纯函数芽,9,QCHSY,5,holomorphic_function_ya,23,quanchunhanshuya,16
55,解析层,9,JXC,3,analytic_sheaf,14,jiexiceng,9
56,全纯向量丛,9,QCXLC,5,holomorphic_vector_bundle,25,quanchunxiangliangcong,22
57,除子,9,CZ,2,divisor,7,chuzi,5
58,亚纯微分,9,YCWF,4,meromorphic_differential,24,yachunweifen,12
59,椭圆函数,9,TYHS,4,elliptic_function,17,tuoyuanhanshu,13
60,模函数,9,MHS,3,mo_function,11,mohanshu,8
61,西塔函数,9,XTHS,4,theta_function,14,xitahanshu,10
62,椭圆模,9,TYM,3,elliptic_mo,11,tuoyuanmo,9
63,肖特基群,9,XTJQ,4,schottky_qun,12,xiaotejiqun,11
64,富克斯群,9,FKSQ,4,fuchs_qun,9,fukesiqun,9
65,全纯函数族,9,QCHSZ,5,holomorphic_family_of_functions,31,quanchunhanshuzu,16
66,全纯映射,9,QCYS,4,holomorphic_map,15,quanchunyingshe,15
67,全纯延拓,9,QCYT,4,pure_continuation,17,quanchunyantuo,14
68,全纯估计,9,QCGJ,4,holomorphic_estimate,20,quanchunguji,12
69,全纯边界行为,9,QCBJXW,6,pure_boundary_behavior,22,quanchunbianjiexingwei,22
70,亚纯函数族,9,YCHSZ,5,meromorphic_family_of_functions,31,yachunhanshuzu,14
71,亚纯映射,9,YCYS,4,meromapping,11,yachunyingshe,13
72,亚纯延拓,9,YCYT,4,asia_pure_extension,19,yachunyantuo,12
73,亚纯估计,9,YCGJ,4,meromorphic_estimate,20,yachunguji,10
74,亚纯边界行为,9,YCBJXW,6,borderline_behavior,19,yachunbianjiexingwei,20
75,整函数族,9,ZHSZ,4,entire_function_zu,18,zhenghanshuzu,13
76,整映射,9,ZYS,3,whole_mapping,13,zhengyingshe,12
77,整延拓,9,ZYT,3,whole_extension,15,zhengyantuo,11
78,整估计,9,ZGJ,3,zheng_estimate,14,zhengguji,9
79,整边界行为,9,ZBJXW,5,borderline_behavior,19,zhengbianjiexingwei,19
80,单叶函数族,9,DYHSZ,5,dan_ye_family_of_functions,26,danyehanshuzu,13
81,单叶映射,9,DYYS,4,single_leaf_mapping,19,danyeyingshe,12
82,单叶延拓,9,DYYT,4,single_leaf_extension,21,danyeyantuo,11
83,单叶估计,9,DYGJ,4,dan_ye_estimate,15,danyeguji,9
84,单叶边界行为,9,DYBJXW,6,single_leaf_boundary_behavior,29,danyebianjiexingwei,19
85,调和函数族,9,DHHSZ,5,harmonic_family_of_functions,28,diaohehanshuzu,14
86,调和映射,9,DHYS,4,harmonic_mapping,16,diaoheyingshe,13
87,调和延拓,9,DHYT,4,harmonize_and_extend,20,diaoheyantuo,12
88,调和估计,9,DHGJ,4,harmonic_estimate,17,diaoheguji,10
89,调和边界行为,9,DHBJXW,6,mediate_boundary_behaviors,26,diaohebianjiexingwei,20
90,次调和函数族,9,CDHHSZ,6,subharmonic_family_of_functions,31,cidiaohehanshuzu,16
91,次调和映射,9,CDHYS,5,subharmonic_mapping,19,cidiaoheyingshe,15
