编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,自治系统,6,ZZXT,4,zi_zhi_xi_tong,14,zizhixitong,11
2,方向场,5,FXC,3,direction_field,15,fangxiangchang,14
3,分离变量方程,5,FLBLFC,6,fen_li_bian_liang_equation,26,fenlibianliangfangcheng,23
4,伯努利方程,6,BNLFC,5,bo_nu_li_equation,17,bonulifangcheng,15
5,黎卡提方程,7,LKTFC,5,riccati_equation,16,likatifangcheng,15
6,常系数线性方程,6,CXSXXFC,7,chang_xi_shu_linear_equation,28,changxishuxianxingfangcheng,27
7,特征方程,6,TZFC,4,te_zheng_equation,17,tezhengfangcheng,16
8,基本解组,6,JBJZ,4,fundamental_solution_zu,23,jibenjiezu,10
9,变参数法,7,BCSF,4,bian_can_shu_fa,15,biancanshufa,12
10,相轨线,6,XGX,3,phase_trajectory,16,xiangguixian,12
11,极限环,7,JXH,3,limit_cycle,11,jixianhuan,10
12,平衡解,5,PHJ,3,ping_heng_solution,18,pinghengjie,11
13,皮卡迭代,7,PKDD,4,picard_die_dai,14,pikadiedai,10
14,存在唯一性定理,7,CZWYXDL,7,cun_zai_wei_yi_xing_theorem,27,cunzaiweiyixingdingli,21
15,刚性方程,7,GXFC,4,gang_xing_equation,18,gangxingfangcheng,17
16,自治方程,6,ZZFC,4,zi_zhi_equation,15,zizhifangcheng,14
17,非自治方程,6,FZZFC,5,fei_zi_zhi_equation,19,feizizhifangcheng,17
18,线性系统,6,XXXT,4,linear_xi_tong,14,xianxingxitong,14
19,非线性系统,6,FXXXT,5,nonlinear_xi_tong,17,feixianxingxitong,17
20,平面系统,6,PMXT,4,ping_mian_xi_tong,17,pingmianxitong,14
21,哈密顿系统,6,HMDXT,5,hamilton_xi_tong,16,hamidunxitong,13
22,梯度系统,6,TDXT,4,ti_du_xi_tong,13,tiduxitong,10
23,奇异方程,6,QYFC,4,qi_yi_equation,14,qiyifangcheng,13
24,延迟微分方程,6,YCWFFC,6,yan_chi_wei_fen_equation,24,yanchiweifenfangcheng,21
25,脉冲微分方程,6,MCWFFC,6,mai_chong_wei_fen_equation,26,maichongweifenfangcheng,23
26,微分包含,6,WFBH,4,wei_fen_bao_han,15,weifenbaohan,12
27,边值问题,6,BZWT,4,bian_zhi_problem,16,bianzhiwenti,12
28,初值问题,6,CZWT,4,initial_value_problem,21,chuzhiwenti,11
