编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,超弦理论,10,CXLL,4,chaoxianlilun,13,chaoxianlilun,13
2,M理论,10,MLL,3,mlilun,6,mlilun,6
3,基本弦,10,JBX,3,jibenxian,9,jibenxian,9
4,开弦,10,KX,2,kaixian,7,kaixian,7
5,闭弦,10,BX,2,bixian,6,bixian,6
6,弦张力,10,XZL,3,xianzhangli,11,xianzhangli,11
7,弦长度,10,XZD,3,xianzhangdu,11,xianzhangdu,11
8,Regge斜率,10,REGGEXL,7,reggexielv,10,reggexielv,10
9,世界面坐标,10,SJMZB,5,shijiemianzuobiao,17,shijiemianzuobiao,17
10,Polyakov作用量,10,POLYAKOVZYL,11,polyakovzuoyongliang,20,polyakovzuoyongliang,20
11,NambuGoto作用量,10,NAMBUGOTOZYL,12,nambugotozuoyongliang,21,nambugotozuoyongliang,21
12,共形规范,10,GXGF,4,gongxingguifan,14,gongxingguifan,14
13,Virasoro约束,10,VIRASOROYS,10,virasoroyueshu,14,virasoroyueshu,14
14,临界维数,10,LJWS,4,linjieweishu,12,linjieweishu,12
15,玻色弦,10,BSX,3,bosexian,8,bosexian,8
16,RNS弦,10,RNSX,4,rnsxian,7,rnsxian,7
17,GreenSchwarz弦,10,GREENSCHWARZX,13,greenschwarzxian,16,greenschwarzxian,16
18,超世界面,10,CSJM,4,chaoshijiemian,14,chaoshijiemian,14
19,世界面超对称,10,SJMCDC,6,shijiemianchaoduicheng,22,shijiemianchaoduicheng,22
20,GSO投影,10,GSOTY,5,gsotouying,10,gsotouying,10
21,Type I弦,10,TYPEIX,6,typeixian,9,typeixian,9
22,Type IIA弦,10,TYPEIIAX,8,typeiiaxian,11,typeiiaxian,11
23,Type IIB弦,10,TYPEIIBX,8,typeiibxian,11,typeiibxian,11
24,异质弦,10,YZX,3,yizhixian,9,yizhixian,9
25,SO32异质弦,10,SO32YZX,7,so32yizhixian,13,so32yizhixian,13
26,E8E8异质弦,10,E8E8YZX,7,e8e8yizhixian,13,e8e8yizhixian,13
27,D膜,10,DM,2,dmo,3,dmo,3
28,D0膜,10,D0M,3,d0mo,4,d0mo,4
29,D1膜,10,D1M,3,d1mo,4,d1mo,4
30,D3膜,10,D3M,3,d3mo,4,d3mo,4
31,D5膜,10,D5M,3,d5mo,4,d5mo,4
32,D7膜,10,D7M,3,d7mo,4,d7mo,4
33,NS5膜,10,NS5M,4,ns5mo,5,ns5mo,5
34,M2膜,10,M2M,3,m2mo,4,m2mo,4
35,M5膜,10,M5M,3,m5mo,4,m5mo,4
36,弦对偶,10,XDO,3,xianduiou,9,xianduiou,9
37,T对偶,10,TDO,3,tduiou,6,tduiou,6
38,S对偶,10,SDO,3,sduiou,6,sduiou,6
39,U对偶,10,UDO,3,uduiou,6,uduiou,6
40,镜像对称,10,JXDC,4,jingxiangduicheng,17,jingxiangduicheng,17
41,CalabiYau紧化,10,CALABIYAUJH,11,calabiyaujinhua,15,calabiyaujinhua,15
42,K3紧化,10,K3JH,4,k3jinhua,8,k3jinhua,8
43,模稳定,10,MWD,3,mowending,9,mowending,9
44,通量紧化,10,TLJH,4,tongliangjinhua,15,tongliangjinhua,15
45,弦景观,10,XJG,3,xianjingguan,12,xianjingguan,12
46,KKLT机制,10,KKLTJZ,6,kkltjizhi,9,kkltjizhi,9
47,大体积情景,10,DTJQJ,5,datijiqingjing,14,datijiqingjing,14
48,膜宇宙,10,MYZ,3,moyuzhou,8,moyuzhou,8
49,黑膜,10,HM,2,heimo,5,heimo,5
50,黑弦,10,HX,2,heixian,7,heixian,7
51,AdS弦背景,10,ADSXBJ,6,adsxianbeijing,14,adsxianbeijing,14
52,弦场论,10,XCL,3,xianchanglun,12,xianchanglun,12
53,开弦场论,10,KXCL,4,kaixianchanglun,15,kaixianchanglun,15
54,闭弦场论,10,BXCL,4,bixianchanglun,14,bixianchanglun,14
55,BRST量子化,10,BRSTLZH,7,brstliangzihua,14,brstliangzihua,14
56,鬼场,10,GC,2,guichang,8,guichang,8
57,顶点算符,10,DDSF,4,dingdiansuanfu,14,dingdiansuanfu,14
58,散射振幅,10,SSZF,4,sanshezhenfu,12,sanshezhenfu,12
59,环面振幅,10,HMZF,4,huanmianzhenfu,14,huanmianzhenfu,14
60,亏格展开,10,KGZK,4,kuigezhankai,12,kuigezhankai,12
61,弦耦合常数,10,XOHCS,5,xianouhechangshu,16,xianouhechangshu,16
62,弦微扰展开,10,XWRZK,5,xianweiraozhankai,17,xianweiraozhankai,17
63,非微扰D瞬子,10,FWRDSZ,6,feiweiraodshunzi,16,feiweiraodshunzi,16
64,D瞬子,10,DSZ,3,dshunzi,7,dshunzi,7
65,膜瞬子,10,MSZ,3,moshunzi,8,moshunzi,8
66,弦网,10,XW,2,xianwang,8,xianwang,8
67,弦热力学,10,XRLX,4,xianrelixue,11,xianrelixue,11
68,Hagedorn温度,10,HAGEDORNWD,10,hagedornwendu,13,hagedornwendu,13
69,双线形式,10,SXXS,4,shuangxianxingshi,17,shuangxianxingshi,17
70,矩阵弦理论,10,JZXLL,5,juzhenxianlilun,15,juzhenxianlilun,15
71,BFSS矩阵模型,10,BFSSJZMX,8,bfssjuzhenmoxing,16,bfssjuzhenmoxing,16
72,IKKT矩阵模型,10,IKKTJZMX,8,ikktjuzhenmoxing,16,ikktjuzhenmoxing,16
73,F理论,10,FLL,3,flilun,6,flilun,6
74,椭圆纤维化,10,TYXWH,5,tuoyuanxianweihua,17,tuoyuanxianweihua,17
75,七膜,10,QM,2,qimo,4,qimo,4
76,三形式通量,10,SXSTL,5,sanxingshitongliang,19,sanxingshitongliang,19
77,超引力极限,10,CYLJX,5,chaoyinlijixian,15,chaoyinlijixian,15
78,十一维超引力,10,SYWCYL,6,shiyiweichaoyinli,17,shiyiweichaoyinli,17
79,紧化半径,10,JHBJ,4,jinhuabanjing,13,jinhuabanjing,13
80,缠绕数,10,CRS,3,chanraoshu,10,chanraoshu,10
81,动量模,10,DLM,3,dongliangmo,11,dongliangmo,11
82,振荡模,10,ZDM,3,zhendangmo,10,zhendangmo,10
