编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,共形场论,10,GXCL,4,gongxingchanglun,16,gongxingchanglun,16
2,共形变换,10,GXBH,4,gongxingbianhuan,16,gongxingbianhuan,16
3,共形群,10,GXQ,3,gongxingqun,11,gongxingqun,11
4,一次场,10,YCC,3,yicichang,9,yicichang,9
5,准一次场,10,ZYCC,4,zhunyicichang,13,zhunyicichang,13
6,标度维数,10,BDWS,4,biaoduweishu,12,biaoduweishu,12
7,自旋量子数,10,ZXLZS,5,zixuanliangzishu,16,zixuanliangzishu,16
8,中心荷,10,ZXH,3,zhongxinhe,10,zhongxinhe,10
9,OPE展开,10,OPEZK,5,opezhankai,10,opezhankai,10
10,算符乘积展开,10,SFCJZK,6,suanfuchengjizhankai,20,suanfuchengjizhankai,20
11,共形块,10,GXK,3,gongxingkuai,12,gongxingkuai,12
12,Virasoro代数,10,VIRASORODS,10,virasorodaishu,14,virasorodaishu,14
13,Virasoro生成元,10,VIRASOROSCY,11,virasoroshengchengyuan,22,virasoroshengchengyuan,22
14,Virasoro真空,10,VIRASOROZK,10,virasorozhenkong,16,virasorozhenkong,16
15,Kac行列式,10,KACXLS,6,kacxinglieshi,13,kacxinglieshi,13
16,Verma模,10,VERMAM,6,vermamo,7,vermamo,7
17,最高权态,10,ZGQT,4,zuigaoquantai,13,zuigaoquantai,13
18,零范数态,10,LFST,4,lingfanshutai,13,lingfanshutai,13
19,BPZ方程,10,BPZFC,5,bpzfangcheng,12,bpzfangcheng,12
20,最小模型,10,ZXMX,4,zuixiaomoxing,13,zuixiaomoxing,13
21,Ising模型CFT,10,ISINGMXCFT,10,isingmoxingcft,14,isingmoxingcft,14
22,三态Potts模型CFT,10,STPOTTSMXCFT,12,santaipottsmoxingcft,20,santaipottsmoxingcft,20
23,WZW模型,10,WZWMX,5,wzwmoxing,9,wzwmoxing,9
24,KacMoody代数,10,KACMOODYDS,10,kacmoodydaishu,14,kacmoodydaishu,14
25,Sugawara构造,10,SUGAWARAGZ,10,sugawaragouzao,14,sugawaragouzao,14
26,仿射李代数,10,FSLDS,5,fangshelidaishu,15,fangshelidaishu,15
27,流代数,10,LDS,3,liudaishu,9,liudaishu,9
28,自由玻色子CFT,10,ZYBSZCFT,8,ziyoubosezicft,14,ziyoubosezicft,14
29,紧化玻色子,10,JHBSZ,5,jinhuabosezi,12,jinhuabosezi,12
30,自由费米子CFT,10,ZYFMZCFT,8,ziyoufeimizicft,15,ziyoufeimizicft,15
31,bc鬼系统,10,BCGXT,5,bcguixitong,11,bcguixitong,11
32,βγ系统,10,XT,2,xitong,6,xitong,6
33,应力张量,10,YLZL,4,yinglizhangliang,16,yinglizhangliang,16
34,能动张量,10,NDZL,4,nengdongzhangliang,18,nengdongzhangliang,18
35,Ward恒等式,10,WARDHDS,7,wardhengdengshi,15,wardhengdengshi,15
36,径向量子化,10,JXLZH,5,jingxiangliangzihua,19,jingxiangliangzihua,19
37,态算符对应,10,TSFDY,5,taisuanfuduiying,16,taisuanfuduiying,16
38,两点函数,10,LDHS,4,liangdianhanshu,15,liangdianhanshu,15
39,三点函数,10,SDHS,4,sandianhanshu,13,sandianhanshu,13
40,四点函数,10,SDHS,4,sidianhanshu,12,sidianhanshu,12
41,交叉对称,10,JCDC,4,jiaochaduicheng,15,jiaochaduicheng,15
42,Bootstrap方程,10,BOOTSTRAPFC,11,bootstrapfangcheng,18,bootstrapfangcheng,18
43,共形Bootstrap,10,GXBOOTSTRAP,11,gongxingbootstrap,17,gongxingbootstrap,17
44,幺正界,10,YZJ,3,yaozhengjie,11,yaozhengjie,11
45,反射正性,10,FSZX,4,fanshezhengxing,15,fanshezhengxing,15
46,谱隙,10,PX,2,puxi,4,puxi,4
47,Mellin振幅,10,MELLINZF,8,mellinzhenfu,12,mellinzhenfu,12
48,阴影变换,10,YYBH,4,yinyingbianhuan,15,yinyingbianhuan,15
49,轻锥Bootstrap,10,QZBOOTSTRAP,11,qingzhuibootstrap,17,qingzhuibootstrap,17
50,大自旋展开,10,DZXZK,5,dazixuanzhankai,15,dazixuanzhankai,15
51,双迹算符,10,SJSF,4,shuangjisuanfu,14,shuangjisuanfu,14
52,反常维数,10,FCWS,4,fanchangweishu,14,fanchangweishu,14
53,缺陷CFT,10,QXCFT,5,quexiancft,10,quexiancft,10
54,边界CFT,10,BJCFT,5,bianjiecft,10,bianjiecft,10
55,Cardy条件,10,CARDYTJ,7,cardytiaojian,13,cardytiaojian,13
56,边界态,10,BJT,3,bianjietai,10,bianjietai,10
57,交叉帽态,10,JCMT,4,jiaochamaotai,13,jiaochamaotai,13
58,对角配分函数,10,DJPFHS,6,duijiaopeifenhanshu,19,duijiaopeifenhanshu,19
59,模不变性,10,MBBX,4,mobubianxing,12,mobubianxing,12
60,环面配分函数,10,HMPFHS,6,huanmianpeifenhanshu,20,huanmianpeifenhanshu,20
61,角色函数,10,JSHS,4,jiaosehanshu,12,jiaosehanshu,12
62,融合规则,10,RHGZ,4,rongheguize,11,rongheguize,11
63,Verlinde公式,10,VERLINDEGS,10,verlindegongshi,15,verlindegongshi,15
64,模块S矩阵,10,MKSJZ,5,mokuaisjuzhen,13,mokuaisjuzhen,13
65,拓扑缺陷线,10,TPQXX,5,tuopuquexianxian,16,tuopuquexianxian,16
66,全局共形块,10,QJGXK,5,quanjugongxingkuai,18,quanjugongxingkuai,18
67,Virasoro共形块,10,VIRASOROGXK,11,virasorogongxingkuai,20,virasorogongxingkuai,20
68,半经典共形块,10,BJDGXK,6,banjingdiangongxingkuai,23,banjingdiangongxingkuai,23
69,重算符极限,10,ZSFJX,5,zhongsuanfujixian,17,zhongsuanfujixian,17
70,轻算符极限,10,QSFJX,5,qingsuanfujixian,16,qingsuanfujixian,16
71,重轻极限,10,ZQJX,4,zhongqingjixian,15,zhongqingjixian,15
72,庞加莱盘CFT,10,PJLPCFT,7,pangjialaipancft,16,pangjialaipancft,16
73,二维CFT,10,EWCFT,5,erweicft,8,erweicft,8
74,三维CFT,10,SWCFT,5,sanweicft,9,sanweicft,9
75,四维CFT,10,SWCFT,5,siweicft,8,siweicft,8
76,超共形代数,10,CGXDS,5,chaogongxingdaishu,18,chaogongxingdaishu,18
77,N1超共形,10,N1CGX,5,n1chaogongxing,14,n1chaogongxing,14
78,N2超共形,10,N2CGX,5,n2chaogongxing,14,n2chaogongxing,14
79,N4超杨Mills,10,N4CYMILLS,9,n4chaoyangmills,15,n4chaoyangmills,15
80,R对称,10,RDC,3,rduicheng,9,rduicheng,9
81,chiral代数,10,CHIRALDS,8,chiraldaishu,12,chiraldaishu,12
82,Schur算符,10,SCHURSF,7,schursuanfu,11,schursuanfu,11
83,指数线缺陷,10,ZSXQX,5,zhishuxianquexian,17,zhishuxianquexian,17
84,赝临界指数,10,YLJZS,5,yanlinjiezhishu,15,yanlinjiezhishu,15
85,Renyi熵,10,RENYIS,6,renyishang,10,renyishang,10
86,纠缠熵,10,JCS,3,jiuchanshang,12,jiuchanshang,12
87,互信息,10,HXX,3,huxinxi,7,huxinxi,7
88,相对熵,10,XDS,3,xiangduishang,13,xiangduishang,13
89,量子Fisher信息,10,LZFISHERXX,10,liangzifisherxinxi,18,liangzifisherxinxi,18
90,热CFT,10,RCFT,4,recft,5,recft,5
91,有限温CFT,10,YXWCFT,6,youxianwencft,13,youxianwencft,13
92,共形流形,10,GXLX,4,gongxingliuxing,15,gongxingliuxing,15
93,边缘算符,10,BYSF,4,bianyuansuanfu,14,bianyuansuanfu,14
94,相关长度指数,10,XGZDZS,6,xiangguanzhangduzhishu,22,xiangguanzhangduzhishu,22
95,临界指数,10,LJZS,4,linjiezhishu,12,linjiezhishu,12
96,无质量流,10,WZLL,4,wuzhiliangliu,13,wuzhiliangliu,13
